name,latitude,longitude,type
Water Stop/Aid Station,37.80709,-122.42587,Aid Station
Water Stop/Aid Station,37.80618,-122.46882,Aid Station
Water Stop/Aid Station,37.8324,-122.47991,Aid Station
Water Stop/Aid Station,37.83621,-122.47356,Aid Station
Water Stop/Aid Station,37.83245,-122.4818,Aid Station
Water Stop/Aid Station,37.80255,-122.47651,Aid Station
Water Stop/Aid Station,37.78814,-122.48291,Aid Station
Water Stop/Aid Station,37.77151,-122.48123,Aid Station
Water Stop/Aid Station,37.77252,-122.46576,Aid Station
Aid Station with Chargel,37.77169,-122.43376,Aid Station
Water Stop/Aid Station,37.76809,-122.42438,Aid Station
Water Stop/Aid Station,37.76398,-122.39475,Aid Station
Water Stop/Aid Station,37.77027,-122.38644,Aid Station
Water Stop/Aid Station,37.78461,-122.38782,Aid Station
